merge sort, quick sort
1067329, 1481121
1063751, 1378585
1064232, 1495511
1080557, 1318809
1063632, 1296020
1065085, 1529544
1067299, 1371550
1063370, 1289568
1063330, 1465478
1063571, 1428320
1108616, 1594390
1063541, 1338150
1067028, 1354044
1065806, 1373925
1063941, 1353693
1062759, 1309710
1066518, 1373273
1067520, 1355646
1062399, 1342829
1064132, 1341527
1051967, 1403307
1061226, 1310051
1061576, 1415423
1063792, 1341386
1062599, 1347349
1064574, 1336846
1063932, 1274716
1068151, 1427127
1059001, 1283735
1063441, 1321364
1061697, 1400812
1062348, 1368684
1062619, 1415773
1061417, 1287322
1073282, 1306894
1062599, 1384337
1063341, 1247559
1061567, 1462281
1059933, 1278865
1065765, 1217366
1085738, 1345265
1064213, 1321133
1062959, 1358413
1063722, 1309901
1067369, 1349584
1064994, 1373574
1062429, 1341056
1065395, 1401022
1066538, 1345175
1066147, 1302094
1061988, 1311073
1066778, 1233490
1065696, 1545126
1062108, 1467361
1062709, 1338340
1063762, 1236195
1067730, 1528671
1066868, 1426316
1066066, 1379016
1058070, 1376711
1060886, 1487254
1065505, 1328821
1063932, 1410793
1089977, 1370378
1063390, 1337158
1065364, 1350435
1071728, 1392515
1073051, 1411073
1066638, 1331245
1068131, 1343491
1072550, 1364225
1069143, 1340013
1118898, 1269464
1068131, 1443823
1139731, 1304007
1071368, 1253892
1067830, 1345967
1066798, 1325223
1073793, 1371089
1069924, 1446478
1067831, 1380639
1069112, 1328149
1063862, 1291631
1144110, 1402946
1067018, 1465709
1141486, 1389387
1068923, 1383946
1077851, 1432529
1071748, 1354614
1045643, 1670300
1072229, 1587044
1072951, 1444544
1068802, 1362370
1064784, 1460397
1066027, 1330744
1045383, 1558113
1065515, 1445967
1065645, 1359986
1063552, 1316254
1063421, 1351367
1065595, 1533231
1068872, 1360898
1061386, 1405792
1071257, 1390059
1060274, 1364175
1069994, 1288886
1063963, 1426967
1064303, 1396012
1063632, 1541578
1065004, 1293565
1073242, 1319621
1066236, 1365578
1067490, 1317185
1068161, 1333279
1065996, 1380940
1067148, 1363694
1062649, 1293516
1066568, 1320783
1064003, 1373815
1067118, 1314971
1065937, 1359755
1063741, 1381120
1064042, 1366550
1064072, 1479808
1068562, 1244883
1066828, 1453954
1066658, 1297835
1063431, 1587775
1066096, 1383676
1068160, 1457221
1064012, 1385179
1065745, 1487184
1064803, 1346357
1067680, 1360417
1063922, 1482695
1065956, 1495321
1104808, 1382784
1066758, 1399138
1061366, 1276219
1061978, 1360006
1062569, 1397204
1070275, 1417517
1057388, 1367261
1062127, 1298116
1059893, 1407486
1062980, 1352460
1059122, 1322326
1059813, 1469907
1064263, 1307886
1065124, 1242147
1068101, 1396413
1064132, 1449595
1061667, 1350446
1061226, 1400111
1064543, 1319420
1061016, 1461429
1065284, 1330344
1064153, 1399319
1068401, 1359555
1059492, 1305391
1065987, 1343712
1063310, 1516666
1060244, 1394739
1062639, 1251998
1057619, 1479597
1063922, 1500372
1064944, 1325052
1067149, 1442850
1066226, 1431737
1062689, 1300921
1061818, 1527459
1063401, 1384347
1066728, 1287031
1066067, 1384277
1059533, 1441066
1068843, 1440285
1063982, 1469236
1064714, 1344313
1066848, 1355115
1065204, 1275247
1060405, 1337419
1061928, 1393686
1066347, 1304389
1061827, 1311343
1067489, 1331887
1063711, 1316985
1058641, 1389639
1062028, 1325803
1064504, 1302495
1059733, 1363162
1062950, 1280047
